,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
1081,Tone 7,Mouse9071,21,group 1,0.1038379892706871,0.10216820985078812,0.04339172691106796,2.751962423324585
1082,Tone 7,Mouse9071,22,group 1,0.0729798749089241,0.1831226795911789,0.006374850403517485,3.772747039794922
1083,Tone 7,Mouse9071,23,group 1,0.06303248554468155,0.11781313270330429,0.030670003965497017,2.603943347930908
1084,Tone 7,Mouse9071,24,group 1,0.10381101816892624,0.20058387517929077,0.05926370620727539,4.404130935668945
1085,Tone 7,Mouse9071,25,group 1,0.08470675349235535,0.13644742965698242,0.0045316023752093315,3.1080260276794434
1086,Tone 7,Mouse9071,26,group 1,0.07722584903240204,0.07749296724796295,0.008896823041141033,2.054924488067627
1087,Tone 7,Mouse9071,27,group 1,0.07315017282962799,0.06363166123628616,0.06038243696093559,1.8211337327957153
1088,Tone 7,Mouse9071,28,group 1,0.08829259127378464,0.12096895277500153,0.031577493995428085,2.9046316146850586
1089,Tone 7,Mouse9071,29,group 1,0.10347092896699905,0.15155109763145447,0.03181103244423866,3.563382625579834
1090,Tone 7,Mouse9071,30,group 1,0.11062417924404144,0.14967919886112213,0.02396966516971588,3.5965616703033447
1091,Tone 7,Mouse9071,31,group 1,0.12108299136161804,0.11523982882499695,0.03883153572678566,3.1355228424072266
1092,Tone 7,Mouse9071,32,group 1,0.05642484501004219,0.06953762471675873,0.020455025136470795,1.7269041538238525
1093,Tone 7,Mouse9071,33,group 1,0.117653027176857,0.08235551416873932,0.0286855585873127,2.546285390853882
1094,Tone 7,Mouse9071,34,group 1,0.08842891454696655,0.06897428631782532,0.048279035836458206,2.051107883453369
1095,Tone 7,Mouse9071,35,group 1,0.09122023731470108,0.12224134057760239,0.016184130683541298,2.943385601043701
1096,Tone 7,Mouse9071,36,group 1,0.11632946878671646,0.14782202243804932,0.020375456660985947,3.6188764572143555
1097,Tone 7,Mouse9071,37,group 1,0.10042142122983932,0.12571442127227783,0.0661843866109848,3.127589464187622
1098,Tone 7,Mouse9071,38,group 1,0.12983481585979462,0.1554703712463379,0.054447486996650696,3.9033315181732178
1099,Tone 7,Mouse9071,39,group 1,0.1354423612356186,0.14735618233680725,0.012884004972875118,3.7928926944732666
1100,Tone 7,Mouse9072,-10,group 1,0.0817255899310112,0.028048397973179817,0.05437035858631134,1.3074736595153809
1101,Tone 7,Mouse9072,-9,group 1,0.1117110550403595,0.07769664376974106,0.03557788208127022,2.4153919219970703
1102,Tone 7,Mouse9072,-8,group 1,0.13129067420959473,0.1350313127040863,0.08881554007530212,3.60166072845459
1103,Tone 7,Mouse9072,-7,group 1,0.1566285789012909,0.16068075597286224,0.03214142844080925,4.236504554748535
