,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
124,Mouse5333,061616,4.989408016204834,0.0871596708893776,0.24675464630126953,0.029593059793114662,4.821433067321777,0.08927925676107407,0.23531368374824524,0.032396506518125534
125,Mouse5333,070516,3.1950011253356934,0.0847875103354454,0.14017190039157867,0.03782118484377861,2.5793285369873047,0.07557601481676102,0.10873223096132278,0.036113396286964417
126,Mouse5333,070716,3.0398247241973877,0.07907260954380035,0.1343870460987091,0.03402508422732353,3.3188135623931885,0.08723211288452148,0.14652621746063232,0.029415670782327652
127,Mouse533L,052616,3.475477695465088,0.08746537566184998,0.15514318645000458,0.04420994594693184,3.2035105228424072,0.08138060569763184,0.14243875443935394,0.04346339404582977
128,Mouse533L,053116,3.416220188140869,0.08452798426151276,0.1533498466014862,0.04340081661939621,3.4237892627716064,0.08731430023908615,0.15216472744941711,0.043454013764858246
129,Mouse533L,060216,3.3862502574920654,0.08173660933971405,0.15328988432884216,0.04114734008908272,3.3437283039093018,0.08390329778194427,0.1495146006345749,0.04004713520407677
130,Mouse533L,060716,3.521448850631714,0.08734378963708878,0.15819427371025085,0.03908005356788635,3.4833149909973145,0.08539196848869324,0.1568387895822525,0.044035255908966064
131,Mouse533L,061416,4.048428535461426,0.08161855489015579,0.19286876916885376,0.04586120322346687,4.282708644866943,0.09017118066549301,0.20206621289253235,0.04192844405770302
132,Mouse533L,070516,3.5973522663116455,0.08889123797416687,0.16113904118537903,0.05517834797501564,3.6595468521118164,0.094724141061306,0.1622883677482605,0.03568929806351662
133,Mouse533L,070716,3.2283079624176025,0.08185547590255737,0.14353713393211365,0.04599602520465851,1.6610534191131592,0.054570768028497696,0.06629683077335358,0.0292254276573658
134,Mouse6662,032618,3.143836498260498,0.09925352036952972,0.12850429117679596,0.040154531598091125,3.3597521781921387,0.10762430727481842,0.13666383922100067,0.03722120821475983
135,Mouse6662,033018,3.6668174266815186,0.11467117071151733,0.15081530809402466,0.0401063933968544,3.8061351776123047,0.11812838912010193,0.15700051188468933,0.04332044720649719
136,Mouse6662,040218,3.8002679347991943,0.11918779462575912,0.15600794553756714,0.04374365508556366,3.7516872882843018,0.1168464794754982,0.15448333323001862,0.04342913255095482
137,Mouse6662,040418,3.4589734077453613,0.10962098836898804,0.14092415571212769,0.04914967715740204,3.6292338371276855,0.11445552110671997,0.14850713312625885,0.04427294805645943
138,Mouse6662,040618,3.6867589950561523,0.11868244409561157,0.149395152926445,0.04609384387731552,4.0316877365112305,0.12737911939620972,0.16544224321842194,0.03529193997383118
139,Mouse6662,040918,3.624560594558716,0.11309578269720078,0.14897863566875458,0.04535575583577156,3.7050931453704834,0.11379954218864441,0.15350812673568726,0.04275236651301384
