scores,y_mouse,y_expDate,y_time,y_flx
7.1549664,Mouse99003,072321,3075,1
7.3265853,Mouse99003,072321,3076,1
9.624794,Mouse99003,072321,3077,1
9.471447,Mouse99003,072321,3078,1
8.158624,Mouse99003,072321,3079,1
10.581056,Mouse99003,072321,3080,1
9.477267,Mouse99003,072321,3081,1
10.309798,Mouse99003,072321,3082,1
9.333573,Mouse99003,072321,3083,1
10.040431,Mouse99003,072321,3084,1
10.778359,Mouse99003,072321,3085,1
7.3291616,Mouse99003,072321,3086,1
11.185123,Mouse99003,072321,3087,1
13.884418,Mouse99003,072321,3088,1
9.354613,Mouse99003,072321,3089,1
12.027892,Mouse99003,072321,3090,1
11.056603,Mouse99003,072321,3091,1
11.766601,Mouse99003,072321,3092,1
7.5780096,Mouse99003,072321,3093,1
16.103836,Mouse99003,072321,3094,1
11.198561,Mouse99003,072321,3095,1
9.99376,Mouse99003,072321,3096,1
15.0291605,Mouse99003,072321,3097,1
7.432611,Mouse99003,072321,3098,1
16.337387,Mouse99003,072321,3099,1
6.003219,Mouse99003,072321,3100,1
6.2222347,Mouse99003,072321,3101,1
10.845862,Mouse99003,072321,3102,1
9.14524,Mouse99003,072321,3103,1
9.264922,Mouse99003,072321,3104,1
11.635286,Mouse99003,072321,3105,1
10.111706,Mouse99003,072321,3106,1
7.742285,Mouse99003,072321,3107,1
11.390555,Mouse99003,072321,3108,1
13.327352,Mouse99003,072321,3110,1
9.206171,Mouse99003,072321,3111,1
9.748531,Mouse99003,072321,3112,1
8.638478,Mouse99003,072321,3113,1
10.719276,Mouse99003,072321,3114,1
13.146185,Mouse99003,072321,3115,1
8.125989,Mouse99003,072321,3116,1
7.5766764,Mouse99003,072321,3117,1
11.366062,Mouse99003,072321,3118,1
4.975729,Mouse99003,072321,3119,1
12.55097,Mouse99003,072321,3120,1
8.141347,Mouse99003,072321,3121,1
10.8221,Mouse99003,072321,3122,1
10.862005,Mouse99003,072321,3123,1
10.311326,Mouse99003,072321,3124,1
10.905261,Mouse99003,072321,3125,1
9.332172,Mouse99003,072321,3126,1
14.518357,Mouse99003,072321,3127,1
9.621179,Mouse99003,072321,3128,1
13.550382,Mouse99003,072321,3129,1
10.182521,Mouse99003,072321,3130,1
10.740467,Mouse99003,072321,3131,1
13.421923,Mouse99003,072321,3132,1
8.463963,Mouse99003,072321,3133,1
8.275387,Mouse99003,072321,3134,1
8.909683,Mouse99003,072321,3135,1
14.232181,Mouse99003,072321,3136,1
9.03767,Mouse99003,072321,3137,1
9.468361,Mouse99003,072321,3138,1
8.481384,Mouse99003,072321,3139,1
10.8795805,Mouse99003,072321,3140,1
6.6399302,Mouse99003,072321,3141,1
3.662457,Mouse99003,072321,3142,1
7.8593583,Mouse99003,072321,3143,1
10.370356,Mouse99003,072321,3144,1
5.400923,Mouse99003,072321,3145,1
8.373239,Mouse99003,072321,3146,1
11.660494,Mouse99003,072321,3147,1
9.474436,Mouse99003,072321,3148,1
9.810155,Mouse99003,072321,3149,1
11.664456,Mouse99003,072321,3150,1
11.50206,Mouse99003,072321,3151,1
10.172923,Mouse99003,072321,3152,1
7.723468,Mouse99003,072321,3153,1
12.054092,Mouse99003,072321,3154,1
11.886989,Mouse99003,072321,3155,1
7.140996,Mouse99003,072321,3156,1
10.208136,Mouse99003,072321,3157,1
10.0367565,Mouse99003,072321,3158,1
8.149382,Mouse99003,072321,3159,1
6.029938,Mouse99003,072321,3160,1
10.373315,Mouse99003,072321,3161,1
12.225512,Mouse99003,072321,3162,1
10.915609,Mouse99003,072321,3163,1
11.236405,Mouse99003,072321,3164,1
15.092349,Mouse99003,072321,3165,1
11.161789,Mouse99003,072321,3166,1
9.914847,Mouse99003,072321,3167,1
8.711492,Mouse99003,072321,3168,1
12.803823,Mouse99003,072321,3169,1
5.7086296,Mouse99003,072321,3170,1
10.011964,Mouse99003,072321,3171,1
5.7026267,Mouse99003,072321,3172,1
14.664678,Mouse99003,072321,3173,1
8.548241,Mouse99003,072321,3174,1
